error.shipping_zipcode_not_valid;Die PLZ ist ungültig
label.email__order_complete_text;Vielen Dank, wir haben erfolgreich ihre Bestellung erhalten.
error.cart_product_not_enough_amount;"Von ""{{replace}}"" sind nur noch {{count}} Stück verfügbar, deshalb wurde die Anzahl in der Einkaufstasche reduziert"
label.firstname;Vorname
shop.order_status_OP;warten auf Zahlung
action.go_ahead;Weiter
label.continue_shopping;Weiter einkaufen
label.load_more;weitere laden
action.continue_shopping;Weitershoppen
notif.password_reset_msg;Wenn Sie ein aktives Konto besitzen, wurde Ihnen nun eine E-Mail mit dem neuen Passwort gesendet
label.payment_method;Zahlungsmethode
action.proceed_to_checkout;Zur Kasse gehen
action.go_back;Zurück
action.back_to_login;Zurück zum Login
action.back_to_overview;zurück zur Übersicht
action.reset;Zurücksetzen
action.add_product_price_to_get_promotion;Fügen Sie noch Waren im Wert von {{PRICE}} hinzu um sich die Promotion "{{NAME}}" zu sichern
action.add_product_amount_to_get_promotion;Fügen Sie noch weitere {{AMOUNT}} Produkte hinzu um sich die Promotion "{{NAME}}" zu sichern
label.subtotal;Zwischensumme
error.wsconnector_exception;Connector error
